expression,context,category
на самой справе,"Збоку шмат пра што можна падумаць не так, як яно ёсць НА САМОЙ СПРАВЕ.",adv_pred
тым не менш,"Наліць? ТЫМ НЕ МЕНШ адразу спытаў адзін з асіметрычным, нібы склееным з двух тварам.",adv_pred
у рэшце рэшт,Я табе хто? У РЭШЦЕ РЭШТ я табе муж!,adv_pred
ўсе жыцце,"Хаця, ты ведаеш, мне часам здаецца, што я ЎСЕ ЖЫЦЦЕ быў мужыком.",adv_pred
да чаго,Куды і ДА ЧАГО прыйшоў — гэта ягоныя справы.,adv_pred
да канца,"Прыходзячы па выкліку да кліентаў, ён часта не даводзіў рамонтныя работы ДА КАНЦА, спасылаючыся на адсутнасць неабходных запчастак.",adv_pred
на жаль,"Хутчэй за ўсё, пра СНБ забудзецца нават цяперашняя амэрыканская адміністрацыя, але, НА ЖАЛЬ, толькі пасьля таго, як зробіць нейкае фатальнае глупства.",adv_pred
дык вось,"ДЫК ВОСЬ, да тых кактэбельскіх сустрэч у першай палове 80-х гадоў Яўгенія Завадзкая знайшла шэсьцьсот(!) крыніцаў, якія навукай рэгістраваліся Борхесавай гульнёй у падман, і яна ўпарта працягвала карпатлівую, прыцягальную працу.",adv_pred
у цэлым,У ЦЭЛЫМ гэта важны і значны крок у фарміраванні рыначнай каньюнктуры 2012 года.,adv_pred
на свеце,"Ведаеш, Наташанька, я самая шчаслівая жанчына НА СВЕЦЕ, калі ў мяне есць такі муж.",adv_pred
у рукі,"Багдан, вазьмі сябе Ў РУКІ.",adv_pred
не раз,НЕ РАЗ відаць яны пра гэта гаварылі…,adv_pred
у адказ,"Ступак нешта мармытаў У АДКАЗ, што мала разумее сам.",adv_pred
апошні час,"Ну і вядома, вельмі папулярны прынт апошні час.",adv_pred
у асноўным,"Па паведамленні УКДБ, У АСНОЎНЫМ у галіне ўкладчыкі ўносілі ў набыццё акцый сумы да 10 тыс. даляраў.",adv_pred
у мінулым,"Там, У МІНУЛЫМ, я люблю толькі яго дзяцінства…",adv_pred
па дарозе,"Я дастаў каньяк, які ўсе ж узяў ПА ДАРОЗЕ, бо размовы чакаў нервовай.",adv_pred
з цяжкасцю,"Праз колькі хвілін усё было скончана, рана прамыта, перавязана. З ЦЯЖКАСЦЮ злажу са стала.",adv_pred
у душы,"А калі не перамятнуўся адкрыта, дык У ДУШЫ наўрад ці спачуваў нядаўнім кіраўнікам раёна, мясцовым актывістам.",adv_pred
у сваю чаргу,"У СВАЮ ЧАРГУ супрацоўнікі УКДБ па Віцебскай вобласці ў ходзе праведзенай спецаперацыі канфіскавалі больш за 3, 5 тыс. буклетаў, каля 7, 5 тыс. налепак з лагатыпам гэтай кампаніі, кампутары, ноўтбукі, аргтэхніку і электронныя носьбіты.",adv_pred
як заўседы,"І тут жа капітан у той няёмкасці, у якую сам я сябе паставіў, дапамог мне, ЯК ЗАЎСЕДЫ дапамагаюць наіўныя людзі.",adv_pred
ў парадку,Па асабістых зваротах выдаецца Ў ПАРАДКУ чаргі абмежаваная колькасць зарэзерваваных для гэтай мэты дазволаў.,adv_pred
на чале,"Ходзяць чуткі, што Карл Лібкнехт вызвалены і хутка стане НА ЧАЛЕ нямецкага ўрада.",adv_pred
сам сабе,"Ступак канешне падзівіўся і ціха САМ САБЕ парадаваўся, што тады пашчасціла неўпрыкмет вывернуцца ад амапаўцаў і выслізнуць з іхніх рук.",adv_pred
ні разу,"І нікому НІ РАЗУ не спатрэбіўся перакладчык: тое, што прапушчана праз сэрца, зразумела кожнаму.",adv_pred
у свой час,"У СВОЙ ЧАС, звязаны сем'ямі, праблемамі іх догляду і пракорму, ва ўсім вольнаму Крабічу я нават зайздросціў.",adv_pred
у першую чаргу,"Адкрываючы новы сезон, мы намагаемся ўлічваць У ПЕРШУЮ ЧАРГУ пажаданні нашых пасажыраў і плануем ў адпаведнасці з імі свае маршруты.",adv_pred
ад сябе,"― А я да цябе, Сушчэня, ― пасцюдзянелым голасам сказаў Бураў, трошкі адхінаючы АД СЯБЕ малога.",adv_pred
на днях,"НА ДНЯХ, як мы прыйшлі сюды, на гэты хутар, дык ён, — кіўнуў на Янку, — рваўся памагчы вам, калі вы на сабе калёсы з лесам цягнулі.",adv_pred
з задавальненнем,У гэты халодны апошні дзень старога года я З ЗАДАВАЛЬНЕННЕМ выпіў бы шклянку гарачага чаю…,adv_pred
кожны раз,Я бачыў яе сотні разоў і ўсе роўна КОЖНЫ РАЗ адварочваюся.,adv_pred
да таго часу,"Я застаюся тут ДА ТАГО ЧАСУ, пакуль Ен не загаворыць са мной.",adv_pred
на вачах,"Чакаў там доўга, дзесятка два мужчын і жанчын НА ВАЧАХ маіх сустрэліся.",adv_pred
у апошні час,У АПОШНІ ЧАС такая рассеяная стала мой коцік забываю літаральна ўсе.,adv_pred
больш-менш,"Я ўжо знайшоў быў БОЛЬШ-МЕНШ прыстойны грот, а тут яны… напалі…",adv_pred
раз за разам,"РАЗ ЗА РАЗАМ скаланаючыся, ён падышоў да цяпельца, ля якога ў світальным паўзмроку шарэла самотная постаць бамжа.",adv_pred
па сутнасці,"Зрэшты, асабліва нікога і не шукалі, адразу населі на гэтых чатырох пуцейцаў,  хоць,  ПА СУТНАСЦI,  ніякіх канкрэтных супраць іх улік і не мелі.",adv_pred
не толькі,Дзейны ўзровень працэнтных ставак па-ранейшаму забяспечвае НЕ ТОЛЬКІ надзейную абарону рублевых зберажэнняў ад інфляцыі.,conj
так і,Аповесьць ТАК I засталася незавершанай.,conj
але і,АЛЕ І тут нічога — я проста выцерся валасамі.,conj
таму што,"Асноўную ўвагу неабходна звяртаць на літары «c» и «g», ТАМУ ШТО іх вымаўленне залежыць ад наступнага галоснага.",conj
ды і,Усе-такі і ў нас есць прафесійная этыка. ДЫ I магчымасці нашы не бязмежныя.,conj
як і,"Яна пайшла з жыцця ў ноч двух месяцаў. Гэта даволі арыгінальна, ЯК І яна сама.",conj
так што,"ТАК ШТО ў нас есць што абмяркоўваць з літоўскімі калегамі, для чаго мы і прапануем падпісаць пагадненне.",conj
а таксама,"У гэты перыяд авіякампанія павялічвае частату выканання палетаў, уводзіць традыцыйныя сезонныя рэйсы, А ТАКСАМА адкрывае новыя напрамкі палетаў.",conj
як мінімум,У асобных краінах ці тыпах крам есць ЯК МІНІМУМ адзін рэстаран з даступнымі цэнамі і без аніякіх фармальных патрабаванняў.,conj
для таго каб,"ДЛЯ ТАГО КАБ дэмантаваць старую таблічку і ўсталяваць пастаянны мемарыял, падыход да яго абгарадзілі металапрофілям.",conj
тым больш,"Пакуль яна была маленькая, мне таксама здавалася, што мы падобныя, ТЫМ БОЛЬШ пры такім знешнім падабенстве…",conj
але не,"Тыгр здольны лазіць (АЛЕ НЕ так добра), пераскокваць праз вялікія адлегласці, плаваць і цягнуць з сілай у пяць разоў мацней за дужага чалавека, як добра падрыхтаваны спартсмен.",conj
калі не,"Дык не пайду, КАЛІ НЕ выганяеш.",conj
у тым ліку,"Шмат млекакормячых з'явілася на Галапагосах з моманту прыбыцця туды чалавека, У ТЫМ ЛІКУ коз, коней, кароў, катоў, сабак і пацукоў.",conj
як толькі,"Можаце быць упэўнены, што, ЯК ТОЛЬКІ вы трапіце на прыстань ці прычал, усе стане відавочна.",conj
гэтак жа як,А ў сярэдняй паласе – ГЭТАК ЖА ЯК ячмень і авес – у якасці кармавой культуры.,conj
ды яшчэ,"Таму ўсе ж не скажаш, што ў ім тады зусім не было ніякай палітыкі. Была — ДЫ ЯШЧЭ каляровая.",conj
ну а,"НУ А мне, лабуху, што думаць?..",conj
быццам бы,"Далейшыя пошукі паказалі, што “імгненьні” (альбо “марыянетка”) БЫЦЦАМ БЫ належаць пяру Надзіны Стэйр.",conj
як ні,"ЯК НІ дзіўна, на гэты раз нават Марта не спрабуе спыніць Роберта.",conj
пасля таго як,"Згодна з паведамленнем ўладаў штата Агая, супраць лекара дзіцячай бальніцы горада Пітсбурга, штат Пенсільванія, будуць выстаўлены абвінавачванні ў забойстве пры абцяжваючых абставінах, ПАСЛЯ ТАГО, ЯК у сераду яе маці знайшлі мертвай у яе машыне.",conj
што тычыцца,"Нядаўна яшчэ шмат у чым, ШТО ТЫЧЫЦЦА іхнага тут побыту, салдат спадзяваўся на бамжа, чалавека болей спрактыкаванага ў зоне, мабыць, як і ў жыцці таксама.",conj
хоць і,"Аднак, на думку старшынi прафсаюза, аплата працы з'яўляецца ХОЦЬ І найважнейшым, аднак не адзiным стымулам для медыцынскiх работнiкаў.",conj
тым больш што,"Рызыкну выказаць меркаванне, што для краiн еўрапейскага рэгiена iснуе рэальная пагроза павелiчэння адтоку лекараў і медыцынскiх сёстраў у краiны Еўрасаюза, ТЫМ БОЛЬШ ШТО там iснуюць спецыяльныя праграмы найму на працу медыцынскiх кадраў з краiн-суседак з дапамогай у адаптацыi, вывучэннi мовы, найме жылля.",conj
перш чым,"Але гэта вельмі цяжкая задача, і пройдзе яшчэ шмат гадоў, ПЕРШ ЧЫМ будуць пабудаваны прыгодныя для эксплуатацыі рэактары тэрмаядзернага сінтэзу.",conj
і хоць,"I ХОЦЬ там было зусім іншае, але ў граху яно, выходзіць, тое самае — ва ўсякім разе для папоў?..",conj
так каб,"На трыбуне стаялі ўсе сакратары райкома, побач з першым сакратаром — яго малая дачка, яна стаяла ТАК, КАБ яе бачылі.",conj
а менавіта,"Ваенныя часы зьмяняюць і характар падзелу рызыкаў, якія, так бы мовіць, сацыялізуюцца, то бок не прыватны капітал, А МЕНАВІТА дзяржава, нібыта пакліканая прэзэнтаваць публічныя інтарэсы, зробіцца самым актыўным агентам у рынкавых апэрацыях.",conj
у тым ліку і,"Ніякая праца не павінна яе абцяжарваць, У ТЫМ ЛІКУ І занудная, брудная, ад якой баліць спіна і псуюцца рукі.",conj
а між тым,А МІЖ ТЫМ самі Колас і Купала выступалі ў друку з чыстасардэчным прызнаньнем уласнай контррэвалюцыйнай дзейнасьці.,conj
ад таго што,"Прачнуўшыся АД ТАГО, ШТО мяне тармасіла лі-лі, я не мог зразумець, як яна тут, на трыбуне, мяне знайшла.",conj
нягледзячы на тое што,"Конкурс не прынес аніякага плену, НЯГЛЕДЗЯЧЫ НА ТОЕ, ШТО ў ім удзельнічалі найбуйнейшыя паэты — Куляшоў, Танк і іншыя.",conj
у той час як,"Скорчыўшыся ад болю, салдат павалокся ў казарму, у той час, як іншыя моўчкі і абыякава пазіралі ўсьлед.",conj
ды зусім,"Ах, Радзівон Парфіравіч, ДЫ ЗУСІМ жа ён немаўля, яшчэ і сіротка!",conj
пасля чаго,ПАСЛЯ ЧАГО яны з Васільком аддаліліся спакойным крокам у бок рачулкі.,conj
як бы ні,"ЯК БЫ НI апраўдваліся і самі пра сябе ні думалі: мы справе служым, а не ўладзе.",conj
калі і,"А КАЛІ І сапраўды няма ў яго пеўчага дара, КАЛІ І сапраўды ён нявольнік сваей самалюбівай мары?",conj
да таго часу пакуль,"Я застаюся тут ДА ТАГО ЧАСУ, ПАКУЛЬ ён не загаворыць са мной.",conj
хоць бы,"А бычыху ХОЦЬ БЫ хто папракнуў. Наадварот, жартавалі ўсе развясела: “ну, блядзюга шаленая!..",conj
а то і,"Яна не верыць мне і думае, што яе пакараюць не так, як мяне, А ТО І апраўдаюць: Яна ж баранілася.",conj
абы,"Я згодны даць яму ў паўтара разы болей, абы у кежмарку здзейснілася божая воля.",conj
што да,"Але ШТО ДА гэтага Лі-Лі, чаго наогул яе гэтак забірае?..",conj
замест таго каб,"На старасьці год ЗАМЕСТ ТАГО, КАБ забіваць у даміно ці сядзець з вудай на рэчцы, ён змушаны рамантаваць чужыя машыны, адбіваць пальцы на кузаўным рамонце.",conj
столькі ж,"Дзіця…ей СТОЛЬКІ Ж, колькі Лi-Лi. На твары Аліка адбілася спакойнае здзіўленне.",conj
чым больш,"Ды й думаў я не так, як Крабіч, а наадварот: ЧЫМ БОЛЬШ нармальных людзей ва ўладзе, тым лепш — яны павінны там быць.",conj
хіба толькі,"Хіба толькі хітрыць будзе, паказваючы, нібы яму тужліва",conj
гэтаксама як,ГЭТАКСАМА ЯК і іншая сімволіка - дзяржаўная і вайсковая - пад якой у гады сталінскай тыраніі былі знішчаны дзесяткі мільёнаў ні ў чым не павінных савецкіх людзей.,conj
калі толькі,КАЛІ ТОЛЬКІ ён сапраўды не з блакітных — па голасе зараз і распазнаем…,conj
з таго часу як,"Сёння роўна тры месяцы З ТАГО ЧАСУ, ЯК ты — мужчына, а я — жанчына.",conj
толькі б,ТОЛЬКI Б бедны хлопец розум не страціў.,conj
можа быць,"МОЖА БЫЦЬ, некалі я і памру.",parenth
такім чынам,"ТАКІМ ЧЫНАМ, паводле экспертнай ацэнкі, інфляцыя з пачатку года склала 4, 7%.",parenth
перш за ўсе,"ПЕРШ ЗА ЎСЕ, вера, што мы жывём прыгожа і справядліва.",parenth
акрамя таго,"АКРАМЯ ТАГО, па інфармацыі ДАI, за мінулыя суткі на дарогах Беларусі было зарэгістравана 256 ДТЗ з матэрыяльнай шкодай.",parenth
у гэтым выпадку,"У ГЭТЫМ ВЫПАДКУ, выканаўца можа патрабаваць ад яго плату за выкананую частку работы.",parenth
ва ўсякім разе,"Праз два тыдні пошукаў мне паведамілі, што спадарыня Стэйр, якая нібыта нарадзілася ў Люйсьвіле, штат Кентукі, ды адышла ў іншы свет ў 1988 годзе ва ўзросьце 86 гадоў увогуле ніколі не існавала, ВА ЎСЯКІМ РАЗЕ, з гэтым імем альбо літаратурным псеўданімам.",parenth
мiж iншым,"У адрозненне ад многiх еўрапейскiх краiн, дзе прафесiя лекара адна з самых высокааплатных, у Беларусi ""кошт"" гадзiны працы медыцынскiх работнiкаў складае ўсяго 4404 рублi, а гэта, МIЖ IНШЫМ, толькi 59, 7 працэнта ад аплаты за гадзiну працы ў прамысловасцi.",parenth
мне здаецца,"МНЕ ЗДАЕЦЦА, гэтым разам я дайду.",parenth
разам з тым,"РАЗАМ З ТЫМ, як паведамілі на ўмовах ананімнасці еўрапейскія дыпламаты, санкцыі не закрануць кампаній Юрыя Чыжа, якія працуюць са славенскімі і латвійскімі прадпрыемствамі.",parenth
так бы мовіць,"— Ён левай рукой лагодна прыгортвае да сябе нявесту. — У гадавіну Перамогі. ТАК БЫ МОВІЦЬ, па сямейнай традыцыі.",parenth
можна сказаць,"МОЖНА СКАЗАЦЬ, яму проста пашанцавала, абы толькі ўдалося.",parenth
у сутнасці,"У сутнасці, ніякага асаблівага працы або небяспекі ў паляванні няма.",parenth
дзякуй богу,"ДЗЯКУЙ БОГУ, Габрыэль Гарсія Маркес пасля інтэнсіўнага лячэння і доўгай рэабілітацыі пайшоў на папраўку.",parenth
як вядома,"ЯК ВЯДОМА, пчолы патрэбны дзеля таго, каб рабіць мед.",parenth
з пункту гледжання,"З ПУНКТУ ГЛЕДЖАННЯ эканамічнай палітыкі, яна арыентуецца на зніжэнне падаткаў дзеля стымулявання спажыўца і ўнутранага попыту, на моцны даляр.",parenth
хутчэй за ўсе,"А двое з тых, што нібы з акадэміі былі, супраць нас біліся. ХУТЧЭЙ ЗА ЎСE, людзі ў цывільным.",parenth
на яго думку,"НА ЯГО ДУМКУ, у нас на падобныя тэмы пішуць нецікава і мала.",parenth
адным словам,"АДНЫМ СЛОВАМ, пад Мінскам есць такая спецыяльная бальніца, дзе раней паміралі вось такія асуджаныя…",parenth
больш за тое,"БОЛЬШ ЗА ТОЕ, ЕС не мае намеру абмяжоўвацца ўведзенымі раней санкцыямі.",parenth
на мой погляд,"НА МОЙ ПОГЛЯД, калі ўжо казаць, што яна “дзіўная”, то яна хутчэй “дзіўная польская”.",parenth
у прынцыпе,"У ПРЫНЦЫПЕ, гэта ня вельмі істотная сума для такой вялікай эканомікі, як амэрыканская, ВУП якой складае 10 трыльенаў даляраў у год.",parenth
канечне ж,"Таму і пісталет — КАНЕЧНЕ Ж, наўмысна кінуты — схавала, і збегла…",parenth
мне здавалася,"МНЕ ЗДАВАЛАСЯ, філасофіяй ен размову пра Лі-Лі адцягвае, а адцягваюць звычайна толькі найгоршае.",parenth
як кажуць,"ЯК КАЖУЦЬ, затрымка пакуль толькі ў галаве.",parenth
трэба сказаць,"ТРЭБА СКАЗАЦЬ, што з баявым воклічам «Багародзіца! Памагай!» войска тады хадзіла ў атаку.",parenth
дай бог,"ДАЙ БОГ, каб мы сустрэліся ў будучым жыцці, на нябесах…",parenth
так ці інакш,"ТАК ЦI IНАКШ, ён не сказаў таго адзінага слова, і хто ведае, можа зрабіў правільна.",parenth
калі хочаце,"Яна толькі яшчэ адзін доказ таго, што я з іншага жыцця, з іншай планеты. КАЛI ХОЧАЦЕ, яе ўжо няма.",parenth
дзеля бога,"ДЗЕЛЯ БОГА, пакіньце ў пакоі маю бедную галаву.",parenth
што называецца,"ШТО НАЗЫВАЕЦЦА, не ў службу, а ў дружбу.",parenth
без сумнення,"БЕЗ СУМНЕННЯ, румыны адважыліся на падобныя правакацыі, маючы падтрымку Кіеўскай рады.",parenth
з майго пункту гледжання,"З МАЙГО ПУНКТУ ГЛЕДЖАННЯ… я б гаварыла пра фаталізм, гэткі легкі фаталізм.",parenth
інакш кажучы,"ІНАКШ КАЖУЧЫ, гаспадарства Міндоўга пачалося з наваградскай зямлі, што мацнела і прылучала да сябе літоўскія землі, ужо часткова каланізаваныя, а потым і не закранутыя славянскай каланізацыяй.",parenth
дарэчы,"ДАРЭЧЫ, я настаўнік гісторыі.",parenth
мяркуючы па ўсім,"МЯРКУЮЧЫ ПА ЎСІМ, палкоўнік быў чалавек гаваркі і меў процьму часу.",parenth
рабіць няма чаго,"— Сам ведаеш, не мая воля, загадаюць ісці супроць цябе — пайду, рабіць няма чаго.",parenth
як бачыце,"ЯК БАЧЫЦЕ, выпадкам, – няпэўна выціснуў з сябе Дземідовіч, з натугай надзеючы гамаш.",parenth
уласна кажучы,"УЛАСНА КАЖУЧЫ, яго пільнасць узрушыў афіцэр у форме капітана французскай арміі.",parenth
як бы там ні было,"ЯК БЫ ТАМ НI БЫЛО, а вялікія і малыя бітвы ішлі з пераменным поспехам.",parenth
чорт вазьмі,"ЧОРТ ВАЗЬМI, падобна на праўду, інакш гэты авантурыст не з'явіўся б з адным ардынарцам і не паводзіў бы сябе так нахабна.",parenth
іншымі словамі,"ІНШЫМІ СЛОВАМІ, Міндоўг выгнаў іх на верную смерць.",parenth
па ўсей верагоднасцi,"Н-6813 меншая за зямлю і ноблаў, ПА ЎСЕЙ ВЕРАГОДНАСЦI, менш, чым нас.",parenth
не дай бог,"Эвакуацыя… НЕ ДАЙ БОГ! Значыць, гэтакая справа…",parenth
можа здарыцца,"МОЖА ЗДАРЫЦЦА і не прыбыткова, паспрабаваў прыкінуцца іначай.",parenth
трэба думаць,"Адказ, ТРЭБА ДУМАЦЬ, быў напісаны, тоячыся ад Трайбэра: ні «новай Еўропы», ні «вызваленай Вайсрутэніі» там не было.",parenth
як высветлілася,"Грошы, ЯК ВЫСВЕТЛІЛАСЯ, былі патрачаны на набыцце наркатычных сродкаў.",parenth
шчыра кажучы,"ШЧЫРА КАЖУЧЫ, я таксама крыху сумаваў па кухні…",parenth
па чутках,"А можа, гэта быў воўк-людаед, якіх, ПА ЧУТКАХ, шмат развялося ў навакольных пушчах.",parenth
трэба меркаваць,"ТРЭБА МЕРКАВАЦЬ, гэта Лізу парадуе.",parenth
як вядзецца,"Шмат было ў яго сяброў, але і ворагі, ЯК ВЯДЗЕЦЦА, былі.",parenth
як бы,Таццяна Шэляговіч ЯК БЫ падсумавала агульны настрой.,part
усе ж,"І мяне ўразіла, што нават у сельскіх мужыкоў, простых і грубых, з жанчынамі УСЕ Ж асаблівыя адносіны.",part
яшчэ і,"За словам містыфікацыя часта крыецца ЯШЧЭ І прымітыўная, ілжывая ды бессэнсоўная авантура.",part
ці што,"Ты ж сам казаў. Не памятаеш, ЦІ ШТО?",part
таго ж,"Многія экзатычныя жывелы сустракаюцца рэдка. Да ТАГО Ж, паркі могуць мець пэўныя правілы адносна фатаграфавання ў камерцыйных мэтах.",part
наўрад ці,Так што НАЎРАД ЦІ ўсю праўду казаў Д'артаньяну Атос.,part
не тое што,"Іх не было, наколькі я змог заўважыць, і ў спальні, ды НЕ ТОЕ ШТО кніжных паліц — нідзе ніводнай кнігі не віднелася.",part
нібыта,"Ля дошак НІБЫТА ўсе нармальна, а побач з нарыхтаванымі венікамі зашкальвае.",part
ледзьве не,"Аднак у расказах дзядзькі Захары, ЛЕДЗЬВЕ НЕ казачна аддаленых па месцы і часе дзеяння, слухачы лавілі перш за ўсе смешнае.",part
ледзь не,"ЛЕДЗЬ НЕ скакалі ад радасці, калі “Песняры” распадаліся.",part
не інакш,"Ды НЕ ІНАКШ чэрці параілі братам абысці дрвенцу, за што палякі заплацілі сваім радцам спаленнем Гільгенбурга і мардаваннем тэўтонскага жыхарства, аб чым вельмі хутка пашкадуюць.",part
нічога падобнага,Ніхто раней мне НІЧОГА ПАДОБНАГА не расказваў.,part
не тое каб,"НЕ ТОЕ, КАБ мне хацелася плакаць, але так яно выходзіць.",part
няйначай як,I намацаў тут бацька Міколкі НЯЙНАЧАЙ ЯК ментуза.,part
нібы як,"Хоць Едыгей і не думаў, атрымаўся НІБЫ ЯК маленькі жалобны мітынг.",part
амаль што,"Яна разумела і нават апраўдвала, калі на гэта ішлі дарослыя ― акружэнцы і свае мужыкі, але што ў той калатнечы магло прывабіць падлеткаў, АМАЛЬ ШТО дзяцей?",part
ды годзе,"ДЫ ГОДЗЕ, Багдан. Ведаю я, што ты скажаш.",part
іменна што,"Вось ІМЕННА, ШТО лепш. I калі мне не скажаш, то адкажаш перад камендантам.",part
ніяк не,"НIЯК НЕ, таварыш капітан.",part
ўсяго толькi,"Гэта было ўжо i не балотца, а ЎСЯГО ТОЛЬКI маленькае акенца каля старога пня.",part
не-не ды,"Вячка НЕ-НЕ ДЫ лавіў закаханыя позіркі, якія князь Усевалад, суровы грубаваты вой, кідаў на сваю прыгажуню-жонку.",part
ўсе ж такі,"Але ЎСE Ж ТАКІ… ён чакаў пачуць яе голас – ведаў, тады пачынаецца дзень, яна прыносіць харч, падтрымлівае ў ім жыццё і тоненькай нітачкай звязвае яго са светам і безданню падзей, з якіх выпаў ен.",part
вось так,"У тым ліку капітана Волаха. ВОСЬ ТАК, лейтэнант…",part
алеж не,"Здаецца, панацэя такая, ратунак для ўсіх людзей, АЛЕЖ НЕ. Таму што такі чалавек, застрахаваны ад усіх змяіных ядаў, немінуча памірае ад першага ж укусу звычайнай пчалы.",part
як бы не так,"ЯК БЫ НЕ ТАК, – сказаў ён і нецярпліва вызваліў рукі.",part
глядзі ты,"ГЛЯДЗI ТЫ – вырвалася з завода, дагнала, ужо нашто ён хутка шыбаваў, а вось не адстала ж.",part
не так каб,"НЕ ТАК, КАБ блізка, але і не далека.",part
разам з,"РАЗАМ З Беларуссю ў другім паўфінале выступяць таксама Сербія, Македонія, Нідэрланды, Мальта, Партугалія, Украіна, Балгарыя, Славенія, Харватыя, Швецыя.",prep
нягледзячы на,"Яны былі асуджаныя, НЯГЛЕДЗЯЧЫ НА сур'езныя сумненні наконт іх ролі ў гэтай трагічнай падзеі.",prep
ў канцы,Ен па дыпламатычных каналах дапамагаў картэру разбірацца з рознымі міжнароднымі пытаннямі. У якасці прыкладу можна прывесці нармалізацыю амерыкана-кітайскіх стасункаў прыблізна Ў КАНЦЫ 1970-х гадоў.,prep
побач з,Я ўяўвіў сябе ПОБАЧ З ею ў бальнічным халаце і шлепках.,prep
ў якасці,Сфінкс служыць дэкарацыяй і выступае Ў ЯКАСЦІ расказчыка доўгай гісторыі.,prep
у выглядзе,"На ўсёй тэрыторыі зімовыя, а ў Арктыцы і летнія ападкі выпадаюць У ВЫГЛЯДЗЕ снегу.",prep
з боку,"У афіцыйнай заяве кіраўнік камітэта звяртае ўвагу на тое, што падобныя парушэнні З БОКУ уладаў не з'яўляюцца адзінкавымі.",prep
з дапамогай,"Нязграбна, бы малпа, З ДАПАМОГАЙ рук Валера адолеў ладны кавалак трубы, а ўчарашняга стыку ўсе не было, і гэта пачало яго ўжо не на жарт палохаць.",prep
з нагоды,У сваю чаргу начальнік аддзела інфармацыі і сувязяў з грамадскасцю ― прэс-сакратар Мінпрыроды Алена Пенязь абвінаваціла Літву ў свядомым ухіленні ад дыялогу з Беларуссю З НАГОДЫ Астравецкай АЭС.,prep
у сувязi з,У СУВЯЗI З прыняццем гэтага закона прызнаць страцiўшымi сiлу.,prep
ў выпадку,"Хсі падчас выбараў намякаў, што Ў ВЫПАДКУ крызісу ма можа ўцячы з краіны.",prep
у пачатку,Вялікі пергаментны дакумент (29 3/4 цаляў на 24 1/2 цаляў) У ПАЧАТКУ свайго існавання быў згорнуты для больш зручнага захоўвання.,prep
гледзячы на,"ГЛЕДЗЯЧЫ НА самаўпэўненага, распісаўшага мяне наперад, падпалкоўніка Панка, на хітранькага, а не дурненькага кандыдата ў дэпутаты, гэбэшніка ці стукача Красевіча, я пачаў пабойвацца…",prep
ў галiне,"Ёй належыць важная роля ў міжнародным навуковатэхнічным супрацоўніцтве, у тым ліку Ў ГАЛІНЕ ядзерных даследаванняў, асваенні космасу і г. д.",prep
за кошт,Правасуддзе не можа вяршыцца ЗА КОШТ новых забойстваў.,prep
у адпаведнасцi з,Прывесцi нарматыўныя прававыя акты урада рэспублiкi Беларусь У АДПАВЕДНАСЦI З гэтым законам.,prep
