expression,context
Stein des Anstoßes,"Zumindest die Vorbehalte gegenüber den Ultraorthodoxen scheinen die Kibbuzniks mit der weiteren Gesellschaft zu teilen. Besonders die Unterstützungsleistungen, die jene beziehen, bildeten an den Protesten in Tel Aviv einen zusätzlichen Stein des Anstoßes."
Wie dem auch sei,"Wie dem auch sei, die Grenze existiert, und eine Ostfront ist geschaffen worden, welche Nazideutschland nicht zu erstürmen wagt."
Wohl oder übel,Wohl oder übel muss Beppi jetzt ernster genommen werden als bisher.
Zünglein an der Waage,"Der vorherrschende Glaube in NAWSA war, dass der Erfolg in einem großen Staat des Ostens das Zünglein an der Waage für die allgemeine Kampagne sein würde."
ab und zu,"Es folgten Jahre mit „normaler“ Instrumentierung, ab und zu unterstützt von Geige oder Saxophon."
am Hungertuch nagen,"In dem Augenblick verschwand das Schloß, und sie saßen wieder in der alten Hütte. „Nun hast dus,“ sagte der Mann, „jetzt können wir wieder am Hungertuch nagen.“ „Ach,“ sprach die Frau, „ich will den Reichthum lieber nicht, wenn ich nicht weiß von wem er kommt, sonst habe ich doch keine Ruhe.“"
am helllichten Tag,"Der Serienmörder Ted Bundy entführte 1974 zwei Frauen am helllichten Tag am Strand des Lake Sammamish State Park, indem er eine Verletzung vortäuschte und um ihre Hilfe bat."
an den Haaren herbeigezogene,eine an den Haaren herbeigezogene Behauptung ― a far-fetched claim
an die Kandare nehmen,Die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.
andere Ufer,Bist du ans andere Ufer gewechselt?
ans Licht kommt,"Aksel hofft, dass die Wahrheit ans Licht kommt und er endlich von dem alten Verdacht reingewaschen wird."
auch andere Mütter haben schöne Töchter,"Aber auch andere Mütter haben schöne Töchter, die sich Honda, Toyota, Souza Cruz, Bandeirante, UOL, GM, Ford, Esso, Fiat, TIM und Pirelli nennen, um nur einige der nichtdeutschen ausländischen Firmen unter den 500 Größten aufzuführen."
auf dem Spiel,"Im Drehbuch wissen wir, wer Mazer Rackham wirklich ist, und wir wissen auch, was auf dem Spiel steht, wenn Ender seine Spiele spielt."
auf den Schlips trittst,"Pass auf, dass du ihm nicht auf den Schlips trittst."
auf der Kippe,Das ganze Projekt steht auf der Kippe.
auf der Strecke bleiben,"Eine Generation, die ein paar Dinge geändert hat, aber auch viele andere Arten von Veränderungen erfuhr, über die sie keine Kontrolle hatte, so dass einige von uns auf der Strecke bleiben mussten."
auf offener Straße,"Außerdem ist er einer der Unterstützer der Kampagne 'Justice for Andrew Jones', die zum Ziel hat, die Mörder eines Jugendlichen vor Gericht zu bringen, der 2003 in Liverpool auf offener Straße zu Tode geprügelt wurde."
aus dem Handgelenk,"»Völlig ausgeschlossen, daß dieser Mann fünfundzwanzig Jahre nicht Schach gespielt haben soll! Er hat doch jeden Zug, jede Gegenpointe auf fünf, auf sechs Züge vorausberechnet. So etwas kann niemand aus dem Handgelenk. Das ist doch völlig ausgeschlossen – nicht wahr?«"
aus dem Kopf,"Exzellente Produktion- ein richtig fetter Sound; eine Menge Energie und exzellente Lieder, die man nicht mehr aus dem Kopf bekommt."
aus dem Ärmel geschüttelt,Wir haben sie am Tag vorher angerufen und da hat sie über Nacht ein Gedicht für Omas Geburtstag aus dem Ärmel geschüttelt.
außer Frage,Die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.
außer Kontrolle geraten,"Das Feuer war bis 21:00 Uhr (00:00 UTC 3. September) außer Kontrolle geraten, es gab große Flammen und gelegentliche Explosionen, und wurde von Feuerwehrleuten aus vier Sektoren bekämpft."
außer Kontrolle geratene,Der Bahnhof war aber nicht nur von feindlichen Angriffen betroffen: Am 12.September 1944 beschädigte eine außer Kontrolle geratene und abstürzende V1 den Bahnhof.
außer Kontrolle geriet,"Der Brand begann, als ein kleines Feuer im Palace Cafe auf der Südseite der Straße am Memorial Day etwa um 4 Uhr morgens außer Kontrolle geriet."
beim Barte des Propheten,"Doch wenn, beim Barte des Propheten, die eben noch dem Untergang geweihte Firma nach zwei Monaten am gleichen Ort unter anderem Namen neu ersteht wie Phönix aus dem Wüstensand und ihre ornamentreichen Knotenwunder jetzt zu noch unglaublicheren Hammerpreisen annonciert, dann kann auch der treueste Anhänger orientalischer Märchenerzähler ins Grübeln kommen."
beleidigte Leberwurst,Sei nicht so’ne beleidigte Leberwurst!
bis in die Puppen,Wir haben gequatscht bis in die Puppen / Und vorher gingen wir sinnlos Shoppen
crème de la crème,"Sandy und Rose sind die zwei Mädchen, für die Jean Brodie die meisten Hoffnungen hat, dass sie eines Tages zur crème de la crème gehören werden."
den Augen des Gesetzes,"Aber in der Sichtweise dieser Verfassung und vor den Augen des Gesetzes gibt es in diesem Land keine überlegene, dominierende, herrschende Klasse von Bürgern."
den Boden bereiten,"1891, E. Rohmer., Allgemeine Deutsche Biographie: Schulthess, Heinrich Er ließ sich in München nieder und trat zunächst als Mitglied in die Redaction der von dem ihm bei öfteren Besuchen in Deutschland befreundet gewordenen Dr. Karl Brater begründeten und geleiteten „Süddeutschen Zeitung“ ein, „welche damals in täglichem Kampfe den Boden bereiten half für die Einigung Deutschlands unter Preußens Führung“"
den Weg geebnet,"2002 erklärte sie, die palästinensischen Terroranschläge seien zwar nicht zu rechtfertigen, doch habe die israelische Politik ihnen „den Weg geebnet“."
der Eckenheimer,"Eine Verbreiterung der Pt-Wagen war 1980 noch nicht möglich, da die ehemalige Straßenbahnstrecke in der Eckenheimer Landstraße zum damaligen Zeitpunkt noch nicht für den Einsatz von 2,65m breiten Fahrzeugen umgebaut worden war."
die Ecke,Ich bin um Mitternacht die Ecke wieder da.
durch den Wind,"Lass mich erst mal überlegen, ich bin noch etwas durch den Wind."
ein für alle Mal,"In der Episode beginnt der „Mann in Schwarz“ (Terry O’Quinn) seinen Plan zur Zerstörung der Insel in die Tat umzusetzen, während Jack Shephard (Matthew Fox) versucht, ihn ein für alle Mal aufzuhalten."
einen Strick drehen,Das war eine ganz harmlose Bemerkung. Daraus kann dir niemand einen Strick drehen. (Standard German proper)
einfach so,Niemand verschwindet einfach so.
erst recht,"Die Niederlage unseres Konkurrenten muss uns erst recht anspornen, heute Abend Bestleistung zu bringen."
gemeinsame Sache gemacht,"Hier wird nun deutlich, dass Marek nicht tot ist, sondern mit den anderen gemeinsame Sache gemacht hat."
große Liebe,Glaubst du an die große Liebe?
großen Liebe,Christian trauerte lange seiner großen Liebe nach.
halbe Miete,Vorbereitung ist die halbe Miete
hinter den Kulissen,"Während dieser Zeit arbeitete Blizzard jedoch hinter den Kulissen, um potentielle Teammitglieder zu engagieren, die sich zurückhalten wollten, um große, umfassende Ankündigungen anstelle von Informationen zu liefern."
ihr wissen,"Und wollt ihr wissen, was davon das Ende ist?"
im Auge behalten,"Die BusinessWeek publiziert jedes Jahr eine Liste der besten und aussichtsreichsten Studienprogramme, die Designdenken mit Wirtschaftsdenken verknüpfen (D-schools 2009 und D-school Programme 2009, die man im Auge behalten sollte)."
im Feld geblieben,Unsere besten Männer sind im Feld geblieben.
im Sturm genommen,"Am Sonntag, dem 13. Mai 1470 wurden zuerst die Burg, dann die Stadt im Sturm genommen."
in Ordnung sein,"Laut Harmon: „Ich glaube nicht, dass jemand eine dritte Staffel machen will, die einfach eine ganze Reihe von Episoden damit verbringt, sich mit einer Situation zu beschäftigen, die wir am Ende der zweiten Staffel geschaffen haben, also denke ich, das ist eine nicht-spoilerische Art zu sagen, dass die Dinge ziemlich schnell in Ordnung sein sollten“."
in Schach gehalten,"Soldaten im englischen Zentrum und auf der rechten Seite überraschten die Männer von Leslie, wurden jedoch von den langen Piken ihrer schottischen Gegner in Schach gehalten."
in Ungnade fiel,"Sie unterstützte ihren Bruder leidenschaftlich, als er 1653 in Ungnade fiel, aber dies scheint weder ihre eigene noch seine Position beeinflusst zu haben."
in Ungnade gefallen,"Die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier."
in den Sand gesetzt,"Der damalige Bundeskanzler hatte dem Unternehmen Bürgschaften und Darlehen in Höhe von 128 Millionen Euro zugesagt, nachdem es Milliarden in den Sand gesetzt hatte"
in den Wind gesprochen,"Meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren."
in die Quere kommen,"Zwischen den beiden Detekteien entwickelt sich eine Art Konkurrenzkampf, da sie sich trotz aller Freundschaft immer wieder gewollt oder ungewollt in die Quere kommen."
in einen Sack stecken und draufhauen,Die Politiker kannste alle in einen Sack stecken und draufhauen – da triffste immer den Richtigen.
in trockenen Tüchern,"»Immer mit der Ruhe, alter Knabe, schön die Ruhe bewahren«, ermahnte ich mich, während ich vom Roller stieg und ihn unangekettet vor dem Hôtel du Palais stehen ließ. Die Sache war noch nicht in trockenen Tüchern."
ins Auge gegangen,Die provokante Werbekampagne ist ordentlich ins Auge gegangen.
ins Fettnäpfchen treten,"Gerade bei Menschen, die viel Wert auf ihren Titel legen, kann man hier leicht ins Fettnäpfchen treten."
ins Gras beißen,"Sie sind gut. Das Fräulein kann jeden Tag ins Gras beißen, und das nennen Sie Liederlichkeit! Da müssen Sie sich schon näher erklären."
ins Stocken geraten,In den Monaten zuvor war die Umsetzung des Minsker Abkommens wiederholt ins Stocken geraten.
ins Visier genommen,Am 8. November wurden im Gegenzug christliche Kirchen ins Visier genommen.
kein Wunder,"Mit verschwindenden Schuldnern und leihunwilligen Banken ist es kein Wunder, dass nach fast drei Jahren mit Niedrigzinsrekorden und massiven Liquiditätsspritzen die Industrieökonomien immer noch so schlecht dastehen."
keine Rolle spielen,"Wie der Name deutlich macht, werden marktbasierte Klimaschutzinstrumente hier keine Rolle spielen."
kurz angebunden,Hat er noch was gesagt? — Nee. Er war kurz angebunden.
"mir nichts, dir nichts","Er warf sich – mir nichts, dir nichts – ins Kampfgetümmel."
mit Kind und Kegel,"Unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum 'Grand Palais' an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen."
mit Sack und Pack,Unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.
mit dem Wolf heult,Gottfried Wagner: Wer nicht mit dem Wolf heult.
mit leeren Händen,"Baldwin kehrte allerdings mit leeren Händen nach Richmond zurück, als er und Lincoln feststellten, dass sie aneinander vorbeigeredet hatten."
mit offenen Augen schlafen,"Im Jahr 2007 arbeitete er auch als Produzent, schrieb instrumentale Stücke und veröffentlichte seine Maxi-CD Pour ceux qui dorment les yeux ouverts („Für diejenigen, die mit offenen Augen schlafen“)."
mitgehen lassen,Er hat wieder mal mein Feuerzeug mitgehen lassen.
mundtot gemacht,"Obwohl Zhang nach den 1940er Jahren intellektuell mundtot gemacht wurde, war er bis dahin ein außergewöhnlich produktiver Schreiber."
nach hinten losgegangen,"Am folgenden Tag erklärten zwei führende Mitglieder der jüdischen Gemeinde, dass Jacksons Versuch, ein Lied gegen Diskriminierung zu verfassen, wohl nach hinten losgegangen sei."
nicht die Bohne,Das interessiert mich nicht die Bohne.
offenes Ohr,Er schenkte ihr ein offenes Ohr.
ohne Trauschein,Sie wohnen ohne Trauschein zusammen.
rund um die Uhr,Alice und die Ärzte pflegten die Familie rund um die Uhr.
sich die Hörner abstoßen,"„Freund, ein Junge muß sich die Hörner abstoßen.“ „Ganz recht, Herzog; wir haben auch unsere Flegeljahre gehabt. Aber bei meinem Friedemann dauern diese Jahre zu lange. Er ist Soldat gewesen, zählt jetzt vierundzwanzig—nun, bei meiner armen Seele, da kann er sich die Hörner wohl abgestoßen haben.“"
silberne Löffel klauen,"Um als deutscher Beamter entlassen zu werden, muss man schon silberne Löffel klauen."
starker Tobak,Heiliger Strohsack das ist für manchen starker Tobak / Ich komm mit Bildern wie Kodak und bin der Mann für jede Tonart
um ein Haar,"Ein bemerkenswert früher Versuch, eine zoophile soziale Struktur zu schaffen, die sich auf den sozialen und psychologischen Support spezialisierte, war die Newsgroup soc.support.zoophilia, welche 1994 vorgeschlagen wurde, aber um ein Haar an der benötigten 2/3-Mehrheit scheiterte."
unter vier Augen,"Oft studierte er mit seinem Vater unter vier Augen, und was er von ihm gehört hatte, schrieb er in sein persönliches Notizbuch."
vier Buchstaben,Schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.
vom rechten Weg abgebracht,"Ein Teil des Volkes ist der Abweichung heimgefallen und hat diejenigen, die ihnen folgten vom rechten Weg abgebracht."
von Grund auf,Unter dem 6. Baronet wurde das Haus von Grund auf modernisiert.
von der Hand in den Mund lebten,"Schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten."
von ganzem Herzen,"Ich danke allen von ganzem Herzen, die mir dies ermöglicht haben."
von gestern,"Diese Blätter befanden sich, wie in Die Welt von gestern beschrieben, im Besitz von Stefan Zweig und sind heute Eigentum der British Library."
von heute auf morgen,Er hat seine Meinung von heute auf morgen geändert.
von vorn,"Wenn du dich verzählst, musst du von vorn anfangen."
von vornherein,Infolgedessen ist jede Analyse der Wirtschaft als analytisch abgrenzbare und von ihrem sozio-kulturellen und politischen Kontext isolierte Einheit von vornherein fehlerhaft.
zu Herzen nehmen,"In einer detaillierten Aufschlüsselung des gesamten readings berichtet Gerbic, dass Thicke unmittelbar nach den obigen Aussagen scherzte: 'Danke, Doktor Henry, ich werde mir das zu Herzen nehmen'."
zu Tode kamen,"Als die Xinhai-Revolution Shaanxi erreichte, wodurch acht Ausländer zu Tode kamen, wurde eine Evakuierung aller Missionare und Ausländer geplant."
zu Tode kommt,"Als auch eine jüdische Nachbarin zu Tode kommt, beschließt Anna, auch aktiven Widerstand zu betreiben."
zum Narren gehalten,"Die Geschichte von Rhampsinit wird heute als eine Art Satire bewertet, in denen ein König von einem bescheidenen Bürger zum Narren gehalten wird."
zum Narren halten,"Zwei Mädchen in dieser Klasse, Chantel und Andrea, wollen ihren neuen Klassenkameraden Courtney zum Narren halten."
zum Tragen kommen,"Er führte einige Neuerungen und Verbesserungen ein, die zum Teil auch bei dieser Amphora zum Tragen kommen."
zur Genüge,Ich hab mir dein Geschrei jetzt zur Genüge angehört.
zwischen Tür und Angel,"Wir sollten das nicht zwischen Tür und Angel besprechen. Kommen Sie doch morgen früh noch mal in mein Büro, ja?"
Über Nacht,Über Nacht blühte die Popularität von Hope und sie wurde ein Hit mit den coolen Mädchen.
über Nacht,"Das Gespräch zwischen den beiden ergibt, dass noch eine weitere Schwester existiert, Cammie, und dass Cammie oft über Nacht im Haus ihrer Freundin Sheila bleibt."
über den Durst getrunken,"Ich habe mich krank gemeldet, weil ich gestern Abend einen über den Durst getrunken habe."
über die Runden kommen,Ich werde schon über die Runden kommen.
Ab und zu,Ab und zu spielt der Verein im neuen Aleppiner internationalen Stadion (Kapazität: ca. 75.000 Plätze).
Alle Register ziehen,Alle Register ziehen – alle Möglichkeiten nutzen/alle Hebel in Bewegung setzen.
Auf das Spiel,"Auf das Spiel selbst hat dies natürlich keinen Einfluss, ist aber sinnvoll, wenn um Geld (zum Beispiel Cent-Beträge) gespielt wird."
Auf dem Spielplatz,Auf dem Spielplatz: Lustiges Stücklein mit Gesang.
Aus dem Ärmel geschüttelt,Aus dem Ärmel geschüttelt!
Das Tagan-Plateau,Das Tagan-Plateau liegt in Mauretanien und bildet einen westlichen Ausläufer der Sahara.
Den Tag,Den Tag darauf besteigen sie erfolgreich die Wand und kehren ins Dorf zurück.
Den Tagessieg,"Den Tagessieg sicherte sich der Österreicher Wolfgang Loitzl, der damit das erste Weltcupspringen seiner Karriere gewinnen konnte."
Der Tagebau,"Der Tagebau erstreckt sich über etwa 3,5 Kilometer Länge, 1,5 Kilometer Breite und über 600 Meter Tiefe."
Der Tagesguck,Der Tagesguck ist eine Parodie auf die Tagesschau.
Der Tageslohn,Der Tageslohn eines damaligen Arbeiters von 5p kann heute zwischen £26 und £259 entsprechen.
Die Tagebücher,"Die Tagebücher von Joseph Goebbels, Teil I, Bd."
Die Tages-,Die Tages- und Nachttemperaturen schwanken relativ stark.
Die Tageslänge,"Die Tageslänge verkürzte sich um 1,8Mikrosekunden."
Die Tagesschau,Die Tagesschau feiert die 20.000.
Die Tagesshow,Die Tagesshow.
Die Tagungen,Die Tagungen finden jährlich statt.
Die Tagungsbeiträge,Die Tagungsbeiträge werden in der Reihe Organohalogen Compounds veröffentlicht.
Dorn im Auge,Die mit SDS unterzeichneten provokanten Flugblätter der K1 („Wasserwerfer sind Papiertiger“) waren ihr ein Dorn im Auge.
Feuer und Flamme sein,"Être tout feu, tout flamme. – Feuer und Flamme sein."
Flaggen zeigten,"Die antiken Flaggen zeigten einen Drachen, einen Adler oder ein mysteriöses Objekt Gottes (selten einen Löwen)."
Früchte tragen,"Betrachtet ihre Frucht, wenn sie Früchte tragen, und ihr Reifen."
In Amt und Würden,In Amt und Würden starb er im November 1736.
Paroli bot,"Unter dem Oberst Bernardo O’Higgins formierte sich indes ein Widerstandsnest von etwa 200 Mann, das den Spaniern Paroli bot und sie nach über einer Stunde schließlich in die Flucht schlagen konnte."
Schwein gehabt,"Wer damals sein Schwein rettete, dem ging es noch relativ gut nach einer Katastrophe: Er hatte „Schwein gehabt“."
Tag und Nacht,"Quibell berichtet zudem, dass er in größerem Umfang Sicherheitspersonal beauftragen musste, Tag und Nacht am Grab des Hesire Wache zu halten, weil es wiederholt zu Diebstählen und Sachbeschädigungen durch Grabräuber und Vandalen kam, die entweder nach Wertvollem oder schlicht Streit suchten."
Tag und Nachtfalter,"Roger Philips, David Carter: Kosmos Atlas Schmetterlingsführer, Europäische Tag und Nachtfalter."
Tage und Nächte,Das Feuer wütete vier Tage und Nächte lang.
Um ein Haar,Um ein Haar.
Vor den Kopf stoßen,Clara Ervedosa: Vor den Kopf stoßen.
Zu Tode kam,Zu Tode kam Adolf in der Schlacht bei Göllheim im Kampf mit dem Gegenkönig Albrecht von Österreich.
an den Ecken,"An den Enden ist der Fries verziert, mit abstrakten Sternen und an den Ecken, wo die Oberfläche der Steine von Werkstein auf Rustika übergeht, mit Streifen."
ans Licht kam,"Unter dem genannten Material, das während des Verfahrens ans Licht kam, befanden sich ein RVF-Magazin, das zu Gewalt aufrief, eine Anleitung zum Bau von Nagelbomben sowie volksverhetzende Gegenstände und Kopien des polnischen Neonazi-Magazins Stormer."
auf das Spieljahr,Über den MLS SuperDraft 2011 kam van Schaik als Gesamt-51.-Pick in der dritten Runde zum Major-League-Soccer-Franchise Real Salt Lake und nahm mit der Mannschaft an der Vorbereitung auf das Spieljahr 2011 teil.
auf dem Spielemarkt,Der erste Erfolg auf dem Spielemarkt war die erfolgreiche Veröffentlichung des Trainz Railroad Simulator in Frankreich im Jahr 2005.
auf dem Spielmodul,Der Spielfortschritt wird auf dem Spielmodul auf einem EEPROM-Speicherbaustein gesichert.
auf den Spielkonsolen,"Sonic & Sega All-Stars Racing ist ein Fun-Racer-Videospiel, das von Sumo Digital entwickelt und 2010 auf den Spielkonsolen der 7. Generation und für Windows erschien."
auf der Spieleentwickler,"Im Oktober 2013 kündigte Valve die Steam Dev Days an, eine zweitägige Entwicklerkonferenz, auf der Spieleentwickler die Möglichkeit haben werden, SteamOS und die darauf aufbauenden Spielkonsolen zu testen und Valve Rückmeldungen zu geben."
auf der Spieleserie,Das Spiel basiert auf der Spieleserie Halo.
auf die Spieltaktik,"In der Halle springt der Ball kontrollierter als auf Rasen, was sich auf die Spieltaktik auswirkt."
auf die leichte Schulter nahmen,"Die Ereignisse waren eine große Herausforderung für Falun Gong, und nichts, was die Praktizierenden auf die leichte Schulter nahmen."
auf eigenen Beinen stehen,"Dort existierten nicht einmal die begrenzten Produktionskapazitäten der anderen Kolonien, es war die Kolonie, die am wenigsten auf eigenen Beinen stehen konnte."
aus dem Handgelenk,Dabei kann man entweder aus dem Handgelenk spielen oder nur mit den Fingern.
aus dem Ruder läuft,"Ihre tiefe Ablehnung gegenüber Grace und ihren neuen Freunden geht nach hinten los, als ihre Modenschau vollkommen aus dem Ruder läuft."
aus dem Ärmel schüttelte,"Without the Van Halen precedent, there might have been no collaboration of Run-DMC and Aerosmith on the 1986 rap/rock version of ’Walk This Way’.” „Der unbenannte Gitarrist, der das flatternde und kreischende Solo in dieser Ode zur Macho-Feigheit aus dem Ärmel schüttelte, war Eddie Van Halen."
aus den Fugen gerät,"Sehr schnell merkt Peter jedoch, dass sein Leben aus den Fugen gerät und die Menschen um ihn herum auf grausame Art und Weise ums Leben kommen."
das Tagen,"Am 17. Juni teilte Römer dem Parlamentspräsidenten abends mit, 'dass die württembergische Regierung sich in der Lage befindet, das Tagen der hierher übersiedelten Nationalversammlung und das Schalten der von ihr am 6. dieses Monats gewählten Reichsregentschaft in Stuttgart und Württemberg nicht mehr länger dulden zu können.'"
dem Tagari,"Andere Dinge wurden, neben anderen Maßen wie Tschenack oder Xaj, nach dem Tagari, der gleich 20 Oken war, gewogen."
dem Tagebaugroßgeräte,"In der Nähe von Gräfenhainichen entstand auf einer Halbinsel im gefluteten Tagebau „Ferropolis“, ein Technikmuseum, in dem Tagebaugroßgeräte und Schienenfahrzeuge gezeigt werden."
dem Valentinstag,"Während die europäischen Volksbräuche, die mit dem Valentinstag verbunden sind, von den modernen anglo-amerikanischen Bräuchen, die den Tag mit der romantischen Liebe verbinden, überschattet wurden, gibt es noch einige Assoziationen zwischen dem Heiligen und dem Aufkommen des Frühlings."
den Geist aufgibt,"Ist Frank Thiel einmal auf Herberts Hilfe angewiesen, besteht immer die Gefahr, dass dieser entweder high ist oder das Taxi den Geist aufgibt."
den Hof machte,"1806 hielt sich Pauline Gotter mit ihrer Freundin Sylvie von Ziegesar in Karlsbad auf, wo Goethe ihrer Freundin den Hof machte und ihr einige Gedichte widmete."
den Tag-Team-Titel,1978 traten die Brüder in Japan an und gewannen dort den Tag-Team-Titel der International Wrestling Alliance.
den Tagesstrip,"Erste Erfahrungen mit dem Zeichnen von Comics sammelte Sterrett bei der Zeitung New York Evening Telegram, für die er im Jahr 1911 den Tagesstrip Ventriloquial Vag zeichnete, dem kurze Zeit später noch weitere mit den Titeln When a Man's Married, Before And After und For This We Have Daughters folgten."
den Tagungsbeiträgen,Neben den Tagungsbeiträgen und dem Stiftungskapital trägt die institutionelle Förderung der Europäischen Union und des Landes Rheinland-Pfalz wesentlich zur Finanzierung der Akademie bei.
den Tagungsbänden,Die „Neurootology Newsletter“ sollen unterstützend zu den Tagungsbänden der GNA den wissenschaftlichen Austausch innerhalb der Gesellschaft befördern.
der Ecken,"Bibliothek der Provinz, 2010, ISBN 978-3-90000-072-1 Irene Ulitzka, Gerhard Gepp: Das Land der Ecken."
der Eckes,Siehe auch: Liste der Kulturdenkmäler in Nieder-Olm Neujahrsball der Feuerwehr Nieder-Olm Erster Samstag im Januar Sebastianus-Theatertage im Januar Rheinhessische Agrartage im Januar Rathausstürmung an Weiberfastnacht Straßenfest am ersten Wochenende nach Fronleichnam Weinkulturtage der Verbandsgemeinde am dritten Wochenende im Juni Kerb am ersten Wochenende im September Weihnachtsmarkt am ersten Adventswochenende Schlachtfest des GV Liederkranz am letzten Oktobersonntag Nieder-Olm ist seit 1857 Stammsitz der Eckes AG.
der TAGGmbH,"Auf einem 18ha großen Areal befinden sich Verteilerstationen von Gas Connect Austria und der TAGGmbH, Betreiber der Trans Austria Gasleitung."
der Tagbanuwa,Die Geschichte der Universität begann als 1910 die Aborlan Farm Settlement School für das indigene Volk der Tagbanuwa eingerichtet wurde.
der Tagesaktivitäten,Dabei nimmt die Nahrungsaufnahme fast 50% der Tagesaktivitäten ein.
der Tageslichtsysteme,Die Palette der Tageslichtsysteme wurde mittlerweile um Glasdachkonstruktionen und Steuerungstechnologien für Gebäudeautomationen erweitert.
der Tagespflegestation,"In der Tagespflegestation steht den Kindern das gleiche Leistungsspektrum zur Verfügung wie in der Tag-und-Nacht-Pflegestation, aber sie bleiben im Hospiz nicht über Nacht."
der Tagesschau,Anton Schaller war Chefredaktor der Tagesschau des Schweizer Fernsehens und leitete die Bundeshausredaktion.
der Tagungsstätte,In der Tagungsstätte finden das ganze Jahr über Veranstaltungen vor allem zu Themen der politischen Bildung statt.
des Eckertales,"Die Muxklippe befindet sich im Harz, südöstlich von Bad Harzburg, oberhalb des Eckertales am Kaiserweg, wenige hundert Meter von der Grenze zwischen Niedersachsen und Sachsen-Anhalt entfernt."
des Tageberges,"Die heutige Innenstadt breitet sich an den Hängen des Tageberges (323,5mü.NN), des Frauenberges (310mü.NN), des Wehneberges (320mü.NN) und des Wendeberges (291mü.NN) aus und reicht in die Täler des Meisebaches und des Geisbaches hinein und hat eine Ausdehnung von Südwesten nach Nordosten von etwa 4,5km."
des Tagesanbruchs,"Kramskoy benutzte vor allem Kalte Farben, die die Kälte des Tagesanbruchs im Hintergrund wiedergeben."
des Tageslimits,Die Autorisierung sowie die Prüfung der Kontodeckung und der Einhaltung des Tageslimits werden von der Rechenzentrale des kartenausgebenden Instituts durchgeführt.
des Tagungshotels,"Der Platz liegt, nur Fußgängern vorbehalten, am westlichen Ende der Helenenstraße, zwischen der St.-Apern-Straße und der Albertusstraße, gegenüber dem Haupteingang des Tagungshotels Pullman."
des Tagungsorts,In der Zwischenzeit veranstaltete eine Gruppe von Kriegsgegnern eine Demonstration außerhalb des Tagungsorts.
des tages,Im Vorspann erschien nun neben dem neuen Schriftzug „heute“ auch das aktuelle Datum und der Berichtsteil hatte jetzt auch mit „themen des tages“ einen eigenen Schriftzug.
die Hände in den Schoß legen,"Kuba dagegen war dazu bereit, was Fidel Castro in einer Rede wie folgt begründete: „Als am 23. Oktober die Invasion Angolas durch reguläre Truppen Südafrikas begann, konnten wir nicht die Hände in den Schoß legen."
die Nerven verloren,Dann habe er seine Bezogenheit auf die Nerven verloren.
