expression,context
Daj sobie siana,"Daj sobie siana, codzienne maile ze skargami nic nie pomogą."
Do końca,Do końca 1915 rosyjska flota przejęła prawie kompletną kontrolę nad morzem.
Do niedawna,"Do niedawna do stacji prowadziło tylko jedno przejście podziemnie, dopóki nie otwarto nowego wiaduktu zachodniego 28 listopada 2006 roku."
Do pełnej,"Do pełnej realizacji tego etapu potrzebna była jeszcze tylko zgoda Komisji Europejskiej na fuzje obu spółek, która została wydana 13 stycznia 2013 r."
Do tego,"Do tego momentu ośmielał się jedynie nazywać się legatem senatu i ludu rzymskiego, ale po samobójstwie Nerona przyjął tytuł cezara i odbył marsz na Rzym."
Do tej pory,"Do tej pory firma opublikowała badania nad systemami komputerowymi, które mogą grać w gry i rozwijać te systemy, począwszy od gier strategicznych, takich jak Go, do gier zręcznościowych."
Do widzenia,"Siân Phillips – Do widzenia, panie Chips Brenda Vaccaro – Nocny kowboj Susannah York – Czyż nie dobija się koni?"
Do zobaczenia,Do zobaczenia później.”
Dobór naturalny,Dobór naturalny doprowadzi do ewolucji tylko pod warunkiem istnienia wystarczającej zmienności genetycznej w populacji.
Eksperyment myślowy,"Eksperyment myślowy Aharonova-Bohma i jego eksperymentalna realizacja wskazywały, że implikacje te nie były czysto filozoficzne."
Gdy tylko,"Zgodnie z własnym kontem Orsenigo: „Gdy tylko poruszyłem kwestię Żydów i judaizmu, spokój spotkania zakończył się natychmiast."
Gdyby nie,"Gdyby nie było Elvisa, nie byłoby Beatlesów”."
Głównym celem,Głównym celem tego stowarzyszenia było umożliwienie kierowcom omówienia kwestii bezpieczeństwa w celu poprawy standardów w następstwie wypadków na Imoli.
Inaczej mówiąc,"Inaczej mówiąc, klasyfikator jest wystarczająco mocny, by zignorować poważne niedociągnięcia naiwnego probabilistycznego modelu."
Innymi słowy,"Innymi słowy, język był analitycznie wcześniejszy w stosunku do myśli."
Jak to,"Jak to ustalił Karol Górski, słońce 7 lutego (czy też właściwie 30 stycznia, jeżeli uwzględnimy późniejszą reformę kalendarza) zachodziło o 16:48, wschód słońca miał nastąpić o 7:38, co dawało czternaście godzin, które wystarczały na dotarcie porywaczy do celu wyprawy."
Jak tylko,"Jak tylko uzyskali licencję na latanie, kupili dwa samoloty desantowe firmy Sikorsky , S-39-CSnazwany 'Spirit of Africa' i S-38-BS nazwany 'Osa's Ark'."
Jakiś czas,Jakiś czas temu.
Jako że,"Jako że kulturę uważa się za głównę siłę w rozwoju języka standardowego, kraje zróżnicowane językowo często promują standaryzację i nawołują do przestrzegania stanowionych norm preskryptywnych."
"Jasne, jasne","— Dopiero co wróciłem ze Sztokholmu. — Jasne, jasne, a ja z Dubaju."
Jednym słowem,"Jednym słowem: 'Jesteś takim, jak myślisz' (ang. you are what you think)."
Jeśli chodzi o,"Jeśli chodzi o zawartość albumu, powiedziała, że „nie będzie szoku, wstrząs jest prosty”, zamiast dążyć do tworzenia piosenek, które „teraz rezonują”."
Jeżeli chodzi o,"Jeżeli chodzi o piwo, to wolę lagery."
Kara śmierci,Kara śmierci – czy Bóg zmienił zdanie?
Kiedy indziej,Kiedy indziej.
Kocham Cię,Liczba 1-4-3 pochodzi od angielskiego 'I Love You' (Kocham Cię).
Kocham ciebie,Utrudzony powiedział do owcy: Kocham ciebie więcej niż dziewięćdziesiąt dziewięć (logion 107).
"Konia z rzędem temu, kto","Konia z rzędem temu, kto wyjaśni mi tę bzdurną decyzję."
Koniec świata,"Marian Brandys, Koniec świata szwoleżerów, t."
Końca Świata,"Grupa próbowała dokonać tego jako nastolatki, ale nie udało im się dotrzeć do ostatnich trzech pubów, w tym do Końca Świata."
Kurwa mać,Kurwa mać! Znowu zgubiłem portfel.
Mały Złoty,Starsza kobieta wiążąca skarpetkę dała mu Mały Złoty Medal Akademii.
Mimo to,Mimo to Londyn stał się światowym centrum telekomunikacyjnym.
Mimo tortur,Mimo tortur kobieta nie wskazała nikogo.
Mimo wszystko,"Mimo wszystko, Mjanma posiada największą ilość źródłowego materiału historycznego w całej Azji Południowo-Wschodniej."
Mimo że,"Mimo że słowa te są często używane zamiennie, BPM ma na celu zintegrować wszystkie używane w przedsiębiorstwie aplikacje, monitorując procesy i gromadząc wszystkie wymagane informacje."
Między innymi,"Między innymi stanowiskami, Hurston pracowała w Pan American World Aiways Technical Library w Patrick Air Force Base w 1957."
Moim zdaniem,"Moim zdaniem najmniej złym podatkiem jest podatek od wartości gruntu, zaproponowany wiele lat temu przez Henry’ego George’a.”"
Może nie,"W ostatnim momencie Rick przekonuje Ilsę, aby wsiadła z mężem do samolotu, mówiąc jej, że jeśli zostanie z nim, będzie tego żałować: „Może nie dziś, nie jutro, ale wkrótce – i to przez całe życie.”"
Na czele,"Na czele każdego z tych klanów stał oga, którego tytuł tłumaczony był na języki europejskie jako „król”, jednak przywództwo klanów było w większości oligarchiczne."
Na dobre,"17-18, jako Barbara Janicka; 2006: Będziesz moja, jako Dagmara; 2005: Na dobre i na złe odc."
Na dodatek,"Na dodatek nigdy nie wstawiono na marginesach tekstu odpowiednich numerów rozdziałów, co czyni niemożliwym odnalezienie fragmentów, których dotyczą tablice kanoniczne."
Na dworze,"Na dworze cesarza Konrada II została podjęta ze wszystkimi honorami, zezwolono jej również na dalsze używanie królewskiego tytułu."
Na dzień dobry,Na dzień dobry chciałbym was wszystkich powitać
Na festiwalu,"Na festiwalu Woodstock 1994 Kiedis zaproponował, by zespół zagrał kilka pierwszych piosenek w metalowych kombinezonach z dużymi żarówkami na głowach."
Na festynie,"Na festynie dowiedział się, że dr James Bedford został poddany krioprezerwacji w Kalifornii."
Na miejscu,Na miejscu otrzymuje telegram nawołujący go do prędkiego powrotu do Londynu.
Na mocy,Na mocy amnestii z grudnia 1989 roku wyrok obniżono do 10 lat.
Na odwrocie,"Na odwrocie pisała „To zabawne, nigdy nie widziałam ich w Afryce."
Na ogół,Na ogół turyści muszą zacząć lub skończyć wycieczkę w punkcie kontrolnym.
Na początku,Na początku 1909 Szisz opuścił Renault i otworzył własny warsztat w Neuilly-sur-Seine.
Na podstawie,Na podstawie danych zebranych do 2000 roku Instytut Jad Waszem zidentyfikował ponad 100 Polaków zamordowanych z powodu udzielania pomocy Żydom.
Na przekór,"Na przekór atakującym, maltańscy powstańcy wzięli duży drewniany krzyż z kaplicy i umieścili go na dachu, wywieszając czarną flagę."
Na przestrzeni,Na przestrzeni lat wielu wybitnych europejskich polityków przemawiało podczas Europejskiego Forum Wachau.
Na przykład,Na przykład w Stanach Zjednoczonych i Kanadzie „tylko licencjonowany inżynier może pieczętować pracę inżynierską dla publicznych i prywatnych klientów”.
Na przykładzie,"Na przykładzie z bantarem, John usunął 'Y' z nazwiska Dopyera przy nazywaniu nowych instrumentów, gdyż jak sam uznał, 'Dopera' było łatwiejsze dla ogółu społeczeństwa do zrozumienia i wymówienia."
Na razie,Są to 'wolni' ludzie i Escher powiedział o nich: 'Na razie ludzie odmawiają udziału w ćwiczeniach związanych z chodzeniem po schodach.
Na skutek,"Na skutek biurokratycznego zamieszania, którego szczegóły są niejasne, amerykańskie obywatelstwo Siegfrieda Hirscha zostało unieważnione, a cała rodzina otrzymała status 'bezpaństwowców'."
Na stałe,Na stałe zamieszkuje w Reggio Emilii.
Na stronie,"Na stronie użytkownicy mogą wyszukiwać obraz, opisując jego wygląd, i używać naturalnego języka, aby znaleźć określone pliki, takie jak 'znajdź mój arkusz kalkulacyjny budżetu z grudnia ubiegłego roku'."
Na szczęście,Na szczęście Otto Friedrich (brat pierwszej żony ojca Carla) chciał i był w stanie mu pomóc.
Na temat,Na temat morderców Debra Tate wyraziła się w następujących słowach: „Nie przejawiają odrobiny poczucia osobistej odpowiedzialności .
Na wszelki wypadek,"Na wszelki wypadek koronerzy zostali także wyposażeni w aparaty, które są konieczne do udzielania pierwszej pomocy."
Najstarszy zawód świata,Marek Karpiński: Najstarszy zawód świata.
Najwyższy Czas,"Jego teksty publikował także „Nasz Dziennik”, „Najwyższy Czas!” i „Moja Rodzina”."
Najwyższy czas,1961 – 'The Second Time Around' (muzyka Jimmy Van Heusen) z filmu Najwyższy czas.
Następnym razem,Następnym razem użyj prezerwatywy .....'
Nawiasem mówiąc,"Nawiasem mówiąc, odrzucenie hipotezy bezmasowych fotonów pozwoliło mu zwątpić również w hipotezę o rozszerzaniu się Wszechświata."
Ni chuja,Ni chuja nie widzę przez te gogle!
Nie bardziej,"Nie bardziej niż ja czy ty, ale czy jeśli nikt nie twierdzi, że jest REZYDENTEM nie oznacza to, że każdy może nim potencjalnie być?'."
Nie cierpię,Nie cierpię go.
Nie ma,"Nie ma wyznaczonego „wieku” w którym do tego dochodzi; dopiero kiedy dziecko uczy się różnicy między dobrem a złem, jest gotowe do odpowiedzialności przed Panem (Jakuba 4:17)."
Nie ma za co,Nie ma za co.
Nie mają,Nie mają na pokładzie urządzeń ani czujników elektronicznych i nie są kontrolowane ich wysokości.
Nie mamy,"Nie mamy prawa oskarżać ich o formy zwyczajów, przesądy, które mogą się nam wydawać śmieszne."
Nie masz,Nie masz prawa śmiać się z nas.
Nie miał,"Nie miał on wymaganej przebijalności, dlatego postanowiono zwiększyć kaliber do 95 mm."
Nie miała,"Nie miała żadnego wpływu na politykę, prosiła tylko króla by nie odwrócił się od jej brata po jego klęsce w bitwie pod Bicoccą."
Nie miało,"Nie miało nosa zewnętrznego, ale dwa otwory w miejscu gdzie powinien znajdować się nos."
Nie mieli,"Nie mieli oni wspólnych dzieci, lecz jego naturalny syn Auguste Regnaud de Saint-Jean d’Angély został marszałkiem Francji."
Nie rozumiem,Zadzwoniłam do Ryana i powiedziałam: „Nie rozumiem.
Nie wie,"Nie wie, co zrobić z pieniędzmi."
Nie wiecie,"A On, obróciwszy się, zgromił ich i rzekł: Nie wiecie, jakiego ducha jesteście."
Nie wiedział,"Nie wiedział, że Goddard jadł obiad z bliskim przyjacielem obrońcy Rolandem Gwynne'em w hotelu w miastu Lewes przed rozpoczęciem procesu."
Nie wiedziała,"Nie wiedziała kim jest, skąd przyszła, odmówiła nawet rozmowy."
Nie wiedziałem,Nie wiedziałem do kogo rzucić piłkę!”.
Nie wiedzą,"Nie wiedzą jednak, że grupa ludzi znanych jako rodzina Huckebein również jest w posiadaniu tej broni, za pomocą której powoduje duże ilości zniszczenia i chaosu, co prowadzi do rozpoczęcia dochodzenia przez Time-Space Administration Bureau."
Nie wiedząc,"Nie wiedząc, do kogo należał, Soriani zabrał go do domu i przywrócił do zdrowia."
Nie wiem,"Nie wiem, czy będę umiał dobrze wysłowić się w waszym... naszym języku włoskim."
Nie wiemy,"Nie wiemy jak było w rzeczywistości, ale królestwo Dotawo, wyraźnie wymienione w dokumentach z Kasr Ibrim, mogło być jednym z tych królestw zależnych."
Niech będzie,"Tytuł piosenki 'Jai Ho' tłumaczy się jako 'Niech będzie zwycięstwo', a Kongres miał nadzieję, że popularna piosenka ożywi masy podczas długiego okresu kampanii wyborczej."
Niech żyje,"Niech żyje król, Dla flagi i dla kraju!"
Niemniej jednak,"Niemniej jednak, Graeber nadal twierdził: „Anarchia wydaje się tworzyć społeczności i podejmować demokratyczne decyzje."
Non Stop,"Girls’ Generation wydały swój pierwszy remix album, Best Selection Non Stop Mix, 20 marca oraz album koncertowy, 2011 Girls' Generation Tour, w kwietniu 2013 roku ."
Nowego Testamentu,"Wykształcony w Rzymie, był wykładowcą Nowego Testamentu."
Nowy Testament,"Zarówno Pisma Hebrajskie, jak i chrześcijański Nowy Testament wykorzystywane są podczas publicznych nabożeństw i do osobistego studium."
Nowy Ład,"Nie zgadzała się z filozofiami (włączając Komunizm i Nowy Ład) wspieranymi przez wielu jej kolegów z Harlem Renaissance, takich jak Langston Hughes, który w latach trzydziestych był zwolennikiem Związku Radzieckiego i chwalił go w wielu swoich poematach."
Obozów Koncentracyjnych,"Komendant musiał stale przebywać na terenie obozu, jego nieobecność przekraczająca 24 godziny wymagała zgody Głównego Inspektoratu Obozów Koncentracyjnych (IKL)."
Od czasu do czasu,Od czasu do czasu prezentuje na wybiegu kolekcje polskich projektantów mody.
Od czasu kiedy,"Od czasu kiedy zamieszkał w górach, wyszkolił jednego ucznia i z powodu swego starego wieku zaczął używać dwóch mieczy."
Od początku,"Od początku emisji ramówka kanału różniła się od ramówki kanału Animal Planet w wersji SD, choć kanały nadają podobne programy."
Od razu,"Od razu zauważył potencjał maszyny, a on i komandor Seiler dodali szereg funkcji, dzięki którym maszyna mogłaby być łatwiej zbudowana, co spowodowało, że Electric Code Machine Mark II (lub ECM Mark II), którą navy produkowało jako CSP-889 (lub 888)."
Od zawsze,Od zawsze eksperymentowałam.
Oj tam,"'Ale przytyłem ostatnio...' 'Oj tam, oj tam'."
Ostatnimi czasy,"Ostatnimi czasy w Indiach miał miejsce szybki wzrost użycia usług mobilnej bankowości, gdy lider wśród banków zaadaptował Mobile Transaction Platform i opublikowane przez Centralny Bank w Indiach wskazówki dotyczące operacji mobilnej bankowości."
PTASIE MLECZKO,"1968, Krajowa Agencja Informacyjna (Poland), Biuletyn informacyjny „PTASIE MLECZKO” ZE SŁUPSKA „Ptasie mleczko”, produkowane w słupskiej fabryce „Pomorzanka” cieszy się w Polsce dużą popularnością. Fabryka otrzymuje coraz większe zamówienia, nie tylko od handlowców krajowych, ale także i zagranicznych. Wychodząc naprzeciw zainteresowaniom odbiorców, „Pomorzanka' już wkrótce zacznie dostarczaó „ptasie mleczko” w 10 smakach."
Park Narodowy,Park Narodowy Fudżi-Hakone-Izu dzieli się na cztery główne obszary: 1.
Parku Narodowego,"Okazało się też, że przemieszczenie osobników z Senkele Wildlife Sanctuary w 1974 nie przyczyniło się zbytnio do wzbogacenia puli genowej populacji z Parku Narodowego Nechisar."
Parku Narodowym,"Pasterze masajscy żyjący w Parku Narodowym Serengeti były systematycznie przesiedlani do Ngorongoro, zwiększając populację Masajów i trzody zamieszkującą krater."
Parków Narodowych,Do 30 kwietnia 2004 parki były nadzorowane przez Krajowy Zarząd Parków Narodowych.
Po co,Po co się urodziłeś 13.
Po prostu,Tweeting the Universe: Tiny Explanations of Very Big Ideas jako Po prostu wszechświat.
Pod pozorem,Pod pozorem posiadania listu do rodziców chłopca od cioci mieszkającej za granicą udało mu się wejść do mieszkania.
Pod rządami,"Pod rządami Michaiła Gorbaczowa, Związek radziecki stał się największym na świecie kupcem nowych statków."
Pod względem,"Pod względem powierzchni (357 km²) jest siódmym skupiskiem ludności w Niemczech (zaraz po Berlinie, Hamburgu i Kolonii), mimo że mieszka tu zaledwie około 45 tys. mieszkańców."
Podczas gdy,"Podczas gdy organizmy haploidalne mają tylko jedną kopię każdego chromosomu, większość zwierząt i wiele roślin są diploidalne i zawierają dwa chromosomy i zatem dwie kopie każdego genu."
Poza tym,"Poza tym czerwony jest moim ulubionym kolorem, tak samo jak złoty.'"
Poza tymi,"Poza tymi strefami znajdują się „strefy nietolerancji”, gdzie przeżycie i rozmnażanie organizmów jest niemożliwe lub mało prawdopodobne."
Prawdę mówiąc,"Prawdę mówiąc, nie myślałem zbyt dużo o ludziach."
Przed rokiem,"Przed rokiem 1241, Gran Castello lub Cittadella na Gozo była już definitywnie ufortyfikowana, jakkolwiek osadnictwo na wzgórzu datuje się od epoki brązu."
Przede wszystkim,"Przede wszystkim wprowadzono nową warstwę zwaną warstwą HAL (Hardware Abstraction Layer), aby łatwo łączyć funkcje bez zmiany kodu C lub rekompilacji."
Przez wzgląd na,"Przez wzgląd na bezpieczeństwo wojsk ONZ, które stacjonują wzdłuż naszych granic, proszę abyś wydał rozkaz natychmiastowego ich wycofania”."
Przy okazji,"Przy okazji festiwalu prasa wspomniała, że „Manson jest obecnie w studiu, pracując nad swoim siódmym albumem, którego wydanie przez Interscope Records zaplanowane jest na 18 maja 2009”."
Przy pomocy,"Przy pomocy danych o różnorodności genetycznej badacze stworzyli symulacje, które wskazują, że bakterie rozprzestrzeniły się z Afryki Wschodniej około 58000 lat temu."
Przy tym,"Przy tym, 38 razy przelatywał nad Atlantykiem."
Punkt zwrotny,Punkt zwrotny nastąpił wiosną 1179 r. w dolinie Charente.
Punktem zwrotnym,"Punktem zwrotnym w dyplomacji wojskowej na skalę międzynarodową była konferencja waszyngtońska 1921–1922, której efektem była seria umów kształtujących nowy porządek w rejonie Pacyfiku."
Razem z,Razem z Watsonem chowają się za bagażami.
Razem ze,"Razem ze stażystami Heechulem i Kanginem, Yunho i Jaejoong dołączyli do grupy projektowej Four Seasons w 2002 roku, ale kwartet rozpadł się, gdy Yunho i Jaejoong zostali wybrani do nowego zespołu w 2003 roku."
Rzuciły światło,"Rzuciły światło na stosunki między- cielesne, w których ludzka indywidualność ma znacznie bardziej skomplikowaną pozycję."
Równie dobrze,Równie dobrze możesz to ignorować.
Ręka rękę myje,"Ręka rękę myje: daj coś od siebie, a powinieneś coś otrzymać."
Sił Zbrojnych,Wybuch rebelii doprowadził do osadzenia podpułkownika Yakubu Gowona na stanowisku najwyższego dowódcy Nigeryjskich Sił Zbrojnych.
Siłami Zbrojnymi,Arkady Fiedler przebywający w Wielkiej Brytanii z Polskimi Siłami Zbrojnymi na Zachodzie pisał o Dywizjonie 303.
Siły Zbrojne,"Kiedy Azerbejdżan uzyskał niepodległość po rozwiązaniu Związku Radzieckiego, Siły Zbrojne Republika Azerbejdżanu została utworzona zgodnie z ustawą o siłach zbrojnych z 9 października 1991 r."
Siły zbrojne,"Siły zbrojne oferowały możliwość awansu społecznego dla niżej usytuowanych Libijczyków, a Kaddafi widział w nich potencjalne narzędzie zmiany politycznej."
Starego Testamentu,"Całość Nowego Testamentu została w pełni przetłumaczona i wydana w 1878 w Londynie, a Starego Testamentu w 1891."
Stary Testament,"Stary Testament został przetłumaczony z języka hebrajskiego, choć data i okoliczności tego wydarzenia nie są jasne."
Sto lat,"Sto lat, sto lat, Niech żyje, żyje nam."
Swego czasu,"Swego czasu pracował w firmie Gelder & Co., ale już do niej nie wrócił."
Słowo w słowo,Young Producers Krakowskie Biuro Festiwalowe realizuje roczny program edukacyjny dla licealistów - Słowo w słowo.
Tak czy inaczej,"Tak czy inaczej ubikacja, gdy tylko to możliwe, jest w pomieszczeniu oddzielonym od łazienki."
Talon na balon,Co za to dostanę? / Talon na balon!
To jest,To jest właśnie temat albumu: młodość i szukanie.”
To znaczy,"To znaczy, krytycy powinni komentować tylko rzeczy, na których się znają."
Trzymam kciuki,Trzymam kciuki za ciebie!
Tu i ówdzie,Tu i ówdzie kościoły były systematycznie demolowane przez bandy robotników.
Tym bardziej,"Tym bardziej więc zjawiska woli, zamiaru miałyby deterministyczne podłoże."
Używanie imion,"Używanie imion rodziców bądź krewnych w imionach osobistych było krytykowane jako niebirmańskie przyswajanie seryjności, choć różni się ono od historycznych praktyk zachodnich."
W Dala,"W Dala, z „garstką jedynie, ale za to wiernych” żołnierzy, planował swoje następne ruchy."
W Imię,W Imię Boga Miłosiernego i Litościwego!
W Tokio,"W Tokio, Osace, Nagoi, Jokohamie, Kobe i Kawasaki „126 762 osoby zginęły, półtora miliona domostw i ponad 270 kilometrów kwadratowych obszarów miejskich uległo zniszczeniu”."
W Traktacie,"W Traktacie z Lizbony ustanowiony został również Europejski Ochotniczy Korpus Pomocy Humanitarnej (art. 214 Traktatu o funkcjonowaniu Unii Europejskiej), do którego mogą przystąpić Europejczycy zainteresowani bezpośrednim włączeniem się w działalność humanitarną."
W celach,"W celach edukacyjnych program zawierał opisy działania niektórych wirusów (w tym demonstracje ich graficznych i dźwiękowych efektów), a od wersji 3.99 leksykon spotykanych w Polsce wirusów."
W celu,"W celu zwalczania niniejszej dyskryminacji, V. Simonko i E. Platovas otworzyli w Wilnie w 1993 roku klub 'Amsterdam' i opublikowali gazetę 'Amsterdam' w 1994 roku."
W ciemności,"W ciemności, w środowisku o pH pomiędzy 5 a 7, rozpada się bardzo powoli, a w warunkach pH 9 okres półrozpadu wynosi około roku."
W ciągu,W ciągu zaledwie trzech lat Visp-West powinien pomieścić kolejne 3000 mieszkańców.
W czasach,"W czasach, gdy ludzie głodują i w czasie II wojny światowej, jego syn Peppino, jest świadkiem niesprawiedliwości czynionej przez gangsterów i właścicieli gruntów, oraz staje się komunistą."
W czasie,"W czasie Wielkiego Kryzysu, życie było nawet cięższe dla Chińczyków niż dla reszty Kanadyjczyków."
W czasopiśmie,"W czasopiśmie Journal des Sçavans 1685 (26.VIII), s.314 pojawiają się dwa problemy dotyczące prawdopodobieństwa wygranej każdego z dwóch graczy w grze w kości."
W dalszej,W dalszej promocji albumu In Your Honor grupa postanowiła zorganizować krótkie akustyczne tournée na lato 2006.
W dalszym,"W dalszym ciągu był przekonany, że pierwsza połowa Mateusza kodeksu reprezentuje tekst zachodni."
W dodatku,W dodatku do mojej własnej małej historii nieszczęścia słyszałem wiele innych.
W drodze,"W drodze na imprezę, Mandy odkrywa, że jej suknia jest zniszczona przez Lisę."
W duchu,W duchu tych zasad Komisja co roku przygotowuje strategię służącą efektywnemu koordynowaniu i programowaniu działań oraz odpowiedniemu wdrażaniu bezstronnego podejścia opartego na potrzebach.
W formie,"W formie zorganizowanej w futbol grają niemal wyłącznie mężczyźni i chłopcy, choć w ostatnich latach zaczęły powstawać amatorskie i półprofesjonalne ligi kobiece."
W imieniu,"Allen, który później twierdził, że rozmawiał z kapitanem Delaplacem, odpowiedział: 'W imieniu Wielkiego Jehowy i Kongresu Kontynentalnego!'."
W istocie,"W istocie potrafił uczyć ludzi o otaczającym ich świecie, wywołując u nich śmiech”."
W każdym razie,"W każdym razie stosowanie numerowania mogło poprzedzać wprowadzenie kalendarza birmańskiego, ponieważ każdy region miał swój własny system numeracji."
W końcu,W końcu rodzina osiadła w Gmunden.
W miarę,"W miarę jak odosobnienie Himeno rośnie, spotyka Hayate i innych Rycerzy Leafe którzy mówią jej, że jest Prétear, która jest potrzebna, aby uratować świat."
W międzyczasie,"W międzyczasie podczas trzeciego spotkania z Mary Welsh poprosił ją, żeby wyszła za niego za mąż."
W obliczu,"W obliczu narastającego chaosu, Rădescu wezwał do przeprowadzenia wyborów."
W obliczy,W obliczy śmierci Johnny’ego Marissa próbuje znaleźć swoje miejsce i cel w Newport.
W odniesieniu do,"W odniesieniu do wszystkich państw z Europy Środkowej i Wschodniej kandydujących do UE Rada Europejska uruchomiła wzmocnioną strategię przedczłonkowską, obejmującą realizację Układów europejskich, Partnerstwo dla członkostwa oraz nową edycję programu PHARE."
W odróżnieniu od,"W odróżnieniu od innych krajów, wybory te są jedynie konkursem piękności."
W ogóle,"W ogóle nie wiem, o czym mówisz."
W oparciu o,W oparciu o to policja stała się małą regionalną armią.
W pełni,W pełni wyleczony powrócił do Shrewsbury w lipcu.
W pobliżu,W pobliżu Blankenheim znajduje się jedyny tunel na tej trasie.
W pojedynkę,100 Medytacji więziennych W pojedynkę z Bogiem: Nowe Kazania z więziennej izolatki Odpowiedź na Pół miliona Listów Chrystus na żydowskich Drogach Z cierpienia do Tryumfu!
W praktyce,"W praktyce, dodawanie nowych funkcji może mieć wyższy priorytet niż aktualizacja dokumentacji; jednak bez dokumentacji, istnieje ryzyko utracenia określonej wiedzy dotyczącej pewnych części programu."
W przeciwieństwie do,"W przeciwieństwie do większości miast, toponim „Marijampol” ma dobrze zdefiniowaną etymologię."
W przeciwnym razie,"W przeciwnym razie, oba te wątki mogą albo próbować stworzyć nowy obiekt w tym samym czasie albo jeden z nich dostanie referencję do nie w pełni zainicjowanego obiektu."
W przeciwnym wypadku,"W przeciwnym wypadku, będzie dostępny później jako Find(u).ancestor, w momencie pokolorowania v na czarno."
W przeciągu,"W przeciągu dwóch miesięcy stworzył ruch przebudzeniowy we własnej społeczności, napisał książkę i zdecydował, aby głosić na drogach."
W ramach,"W ramach długoterminowego planu dla klubu, Al-Khelaïfi mianował legendarnego piłkarza Leonardo nowym dyrektorem sportowym."
W razie,"W razie napotkania oporu, siły zbrojne muszą być zniszczone, a ludność musi być wydalona poza granice państwa."
W rezultacie,"W rezultacie, geografia miasta jest dość zróżnicowana."
W rzeczy samej,"W rzeczy samej to, co zrobiono, miało na celu dokładne wyjaśnienie, że przestrzenie tensorowe są konstrukcjami wymaganymi do zredukowania problemów wieloliniowych do rzędu problemów liniowych."
W rzeczywistości,"W rzeczywistości, komunikacja, mobilność, edukacja, życie domowe, wypoczynek i relacje społeczne wymagają udziału i są oznakami rozmiarów, w których dziecko funkcjonuje w swoim środowisku."
W skrócie,"W skrócie, wszystko, co Lisp może zrobić ze strukturą danych, makra Lispu mogą zrobić z kodem."
W sprawach,"W sprawach związanych ze stosunkami z Palestyńczykami i krajami arabskimi, Perec uważany był za zajmującego „gołębią” pozycję."
W sprawę,"W sprawę zamieszana jest dziewczyna zwana Śmiercią, której kochankowie giną w dziwnych okolicznościach."
W stanie,W stanie wojennym redagował „Solidarność – Pismo Regionu Gdańskiego”.
W stronę,W stronę Krainy Łagodności Vol.
W sumie,"W sumie Azerbejdżan ma 78 miast, 63 dzielnice miasta i jedno specjalne miasto statusu prawnego."
W swoim czasie,W swoim czasie ten telefon był wielkim hitem dla wielu ludzi.
W sytuacji,"W sytuacji tej, ludzie są otoczeni różnymi rodzajami bólu, przestrzeń do działania jest ograniczona, a różne interesy często stoją w sprzeczności ze sobą."
W szczególności,"W szczególności twierdzono, że w wiosce At-Tira spalono żywcem 28 osób."
W teorii,"W teorii, która ma być kompletna, może to być uznane za matematyczną niespójność."
W toku,W toku śledztwa Paweł Tuchlin przyznał się do 10 zabójstw i 11 usiłowań.
W trakcie,W trakcie kariery był postrzegany jako osoba enigmatyczna i pełna sprzeczności.
W wyniku,W wyniku głosowania wybrano nazwę PHP7.
